date,store,sales,promo,holiday
2022-03-25,1,226.4,1,0
2022-03-26,1,257.16,1,1
2022-03-27,1,198.16,0,0
2022-03-28,1,280.91,1,1
2022-03-29,1,252.3,1,0
2022-03-30,1,231.43,0,0
2022-03-31,1,248.58,1,0
2022-04-01,1,205.63,0,0
2022-04-02,1,186.51,0,0
2022-04-03,1,192.29,0,0
2022-04-04,1,207.66,0,0
2022-04-05,1,217.99,0,0
2022-04-06,1,230.7,0,0
2022-04-07,1,219.75,0,0
2022-04-08,1,201.17,0,0
2022-04-09,1,189.2,0,0
2022-04-10,1,187.2,0,0
2022-04-11,1,207.86,0,0
2022-04-12,1,223.94,0,0
2022-04-13,1,225.55,0,0
2022-04-14,1,257.99,0,1
2022-04-15,1,233.51,1,0
2022-04-16,1,200.15,0,0
2022-04-17,1,195.5,0,0
2022-04-18,1,211.6,0,0
2022-04-19,1,255.63,1,0
2022-04-20,1,220.32,0,0
2022-04-21,1,249.01,1,0
2022-04-22,1,242.14,0,1
2022-04-23,1,233.38,1,0
2022-04-24,1,194.02,0,0
2022-04-25,1,242.17,1,0
2022-04-26,1,226.18,0,0
2022-04-27,1,224.42,0,0
2022-04-28,1,225.21,0,0
2022-04-29,1,205.95,0,0
2022-04-30,1,195.37,0,0
2022-05-01,1,220.78,1,0
2022-05-02,1,248.03,1,0
2022-05-03,1,219.69,0,0
2022-05-04,1,233.55,0,0
2022-05-05,1,230.8,0,0
2022-05-06,1,197.59,0,0
2022-05-07,1,188.94,0,0
2022-05-08,1,196.18,0,0
2022-05-09,1,208.85,0,0
2022-05-10,1,219.3,0,0
2022-05-11,1,271.31,0,1
2022-05-12,1,214.88,0,0
2022-05-13,1,205.26,0,0
2022-05-14,1,187.52,0,0
2022-05-15,1,233.78,1,0
2022-05-16,1,207.8,0,0
2022-05-17,1,225.79,0,0
2022-05-18,1,235.38,0,0
2022-05-19,1,214.39,0,0
2022-05-20,1,234.38,1,0
2022-05-21,1,199.0,0,0
2022-05-22,1,188.34,0,0
2022-05-23,1,212.99,0,0
2022-05-24,1,259.05,1,0
2022-05-25,1,265.57,1,0
2022-05-26,1,254.71,0,1
2022-05-27,1,196.99,0,0
2022-05-28,1,195.43,0,0
2022-05-29,1,228.22,1,0
2022-05-30,1,213.67,0,0
2022-05-31,1,259.84,1,0
2022-06-01,1,228.62,0,0
2022-06-02,1,222.41,0,0
2022-06-03,1,205.4,0,0
2022-06-04,1,189.6,0,0
2022-06-05,1,206.41,0,0
2022-06-06,1,215.14,0,0
2022-06-07,1,262.5,0,1
2022-06-08,1,235.65,0,0
2022-06-09,1,216.72,0,0
2022-06-10,1,248.22,0,1
2022-06-11,1,229.31,1,0
2022-06-12,1,223.33,1,0
2022-06-13,1,247.93,1,0
2022-06-14,1,260.87,1,0
2022-06-15,1,236.83,0,0
2022-06-16,1,231.43,0,0
2022-06-17,1,203.41,0,0
2022-06-18,1,230.1,0,1
2022-06-19,1,193.33,0,0
2022-06-20,1,239.39,1,0
2022-06-21,1,228.77,0,0
2022-06-22,1,234.77,0,0
2022-06-23,1,223.68,0,0
2022-06-24,1,249.13,0,1
2022-06-25,1,194.28,0,0
2022-06-26,1,205.4,0,0
2022-06-27,1,242.49,1,0
2022-06-28,1,243.1,0,0
2022-06-29,1,236.54,0,0
2022-06-30,1,248.36,1,0
2022-07-01,1,229.99,1,0
2022-07-02,1,226.98,1,0
2022-07-03,1,227.36,1,0
2022-07-04,1,257.74,0,1
2022-07-05,1,232.22,0,0
2022-07-06,1,233.4,0,0
2022-07-07,1,218.76,0,0
2022-07-08,1,198.12,0,0
2022-07-09,1,192.69,0,0
2022-07-10,1,203.11,0,0
2022-07-11,1,215.59,0,0
2022-07-12,1,223.98,0,0
2022-07-13,1,234.98,0,0
2022-07-14,1,265.27,0,1
2022-07-15,1,241.62,0,1
2022-07-16,1,226.04,1,0
2022-07-17,1,199.47,0,0
2022-07-18,1,209.15,0,0
2022-07-19,1,232.34,0,0
2022-07-20,1,267.27,1,0
2022-07-21,1,229.11,0,0
2022-07-22,1,211.66,0,0
2022-07-23,1,188.73,0,0
2022-07-24,1,194.84,0,0
2022-07-25,1,247.79,1,0
2022-07-26,1,233.47,0,0
2022-07-27,1,237.39,0,0
2022-07-28,1,273.31,1,0
2022-07-29,1,239.59,1,0
2022-07-30,1,201.65,0,0
2022-07-31,1,234.65,1,0
2022-08-01,1,218.82,0,0
2022-08-02,1,229.68,0,0
2022-08-03,1,238.96,0,0
2022-08-04,1,220.53,0,0
2022-08-05,1,205.91,0,0
2022-08-06,1,223.89,1,0
2022-08-07,1,230.64,1,0
2022-08-08,1,267.49,0,1
2022-08-09,1,252.27,1,0
2022-08-10,1,238.95,0,0
2022-08-11,1,216.68,0,0
2022-08-12,1,205.08,0,0
2022-08-13,1,202.11,0,0
2022-08-14,1,230.9,1,0
2022-08-15,1,240.88,1,0
2022-08-16,1,228.38,0,0
2022-08-17,1,239.26,0,0
2022-08-18,1,221.44,0,0
2022-08-19,1,208.87,0,0
2022-08-20,1,227.25,1,0
2022-08-21,1,197.67,0,0
2022-08-22,1,227.34,0,0
2022-08-23,1,235.47,0,0
2022-08-24,1,226.09,0,0
2022-08-25,1,266.38,0,1
2022-08-26,1,204.83,0,0
2022-08-27,1,201.63,0,0
2022-08-28,1,197.32,0,0
2022-08-29,1,246.39,1,0
2022-08-30,1,235.18,0,0
2022-08-31,1,280.89,0,1
2022-09-01,1,249.79,1,0
2022-09-02,1,206.82,0,0
2022-09-03,1,225.34,1,0
2022-09-04,1,198.36,0,0
2022-09-05,1,226.14,0,0
2022-09-06,1,235.03,0,0
2022-09-07,1,230.61,0,0
2022-09-08,1,230.73,0,0
2022-09-09,1,219.45,0,0
2022-09-10,1,203.23,0,0
2022-09-11,1,194.38,0,0
2022-09-12,1,215.25,0,0
2022-09-13,1,269.69,1,0
2022-09-14,1,263.73,1,0
2022-09-15,1,258.71,1,0
2022-09-16,1,213.06,0,0
2022-09-17,1,193.78,0,0
2022-09-18,1,202.03,0,0
2022-09-19,1,201.81,0,0
2022-09-20,1,228.58,0,0
2022-09-21,1,236.35,0,0
2022-09-22,1,220.61,0,0
2022-09-23,1,217.7,0,0
2022-09-24,1,191.62,0,0
2022-09-25,1,200.48,0,0
2022-09-26,1,219.02,0,0
2022-09-27,1,271.26,1,0
2022-09-28,1,230.79,0,0
2022-09-29,1,233.01,0,0
2022-09-30,1,209.94,0,0
2022-10-01,1,194.21,0,0
2022-10-02,1,205.34,0,0
2022-10-03,1,219.71,0,0
2022-10-04,1,231.4,0,0
2022-10-05,1,238.66,0,0
2022-10-06,1,225.62,0,0
2022-10-07,1,210.81,0,0
2022-10-08,1,232.78,1,0
2022-10-09,1,211.31,0,0
2022-10-10,1,212.88,0,0
2022-10-11,1,275.42,1,0
2022-10-12,1,268.91,0,1
2022-10-13,1,267.14,0,1
2022-10-14,1,213.53,0,0
2022-10-15,1,201.22,0,0
2022-10-16,1,230.62,1,0
2022-10-17,1,218.38,0,0
2022-10-18,1,262.64,1,0
2022-10-19,1,236.07,0,0
2022-10-20,1,232.49,0,0
2022-10-21,1,212.72,0,0
2022-10-22,1,196.7,0,0
2022-10-23,1,208.58,0,0
2022-10-24,1,251.3,1,0
2022-10-25,1,239.52,0,0
2022-10-26,1,272.51,1,0
2022-10-27,1,224.45,0,0
2022-10-28,1,238.49,1,0
2022-10-29,1,204.26,0,0
2022-10-30,1,207.48,0,0
2022-10-31,1,250.01,1,0
2022-11-01,1,236.39,0,0
2022-11-02,1,286.1,0,1
2022-11-03,1,225.99,0,0
2022-11-04,1,214.37,0,0
2022-11-05,1,229.86,1,0
2022-11-06,1,203.69,0,0
2022-11-07,1,225.96,0,0
2022-11-08,1,240.28,0,0
2022-11-09,1,244.13,0,0
2022-11-10,1,235.82,0,0
2022-11-11,1,212.09,0,0
2022-11-12,1,204.63,0,0
2022-11-13,1,203.58,0,0
2022-11-14,1,222.44,0,0
2022-11-15,1,235.85,0,0
2022-11-16,1,240.9,0,0
2022-11-17,1,232.62,0,0
2022-11-18,1,208.25,0,0
2022-11-19,1,212.03,0,0
2022-11-20,1,200.45,0,0
2022-11-21,1,215.1,0,0
2022-11-22,1,242.64,0,0
2022-11-23,1,284.72,0,1
2022-11-24,1,233.12,0,0
2022-11-25,1,215.83,0,0
2022-11-26,1,201.86,0,0
2022-11-27,1,201.34,0,0
2022-11-28,1,251.9,1,0
2022-11-29,1,273.82,0,1
2022-11-30,1,245.99,0,0
2022-12-01,1,229.61,0,0
2022-12-02,1,208.91,0,0
2022-12-03,1,200.66,0,0
2022-12-04,1,238.25,1,0
2022-12-05,1,219.05,0,0
2022-12-06,1,233.44,0,0
2022-12-07,1,242.68,0,0
2022-12-08,1,231.92,0,0
2022-12-09,1,250.85,0,1
2022-12-10,1,200.26,0,0
2022-12-11,1,207.69,0,0
2022-12-12,1,214.98,0,0
2022-12-13,1,230.87,0,0
2022-12-14,1,238.22,0,0
2022-12-15,1,229.98,0,0
2022-12-16,1,215.29,0,0
2022-12-17,1,250.35,0,1
2022-12-18,1,211.17,0,0
2022-12-19,1,261.77,0,1
2022-12-20,1,238.16,0,0
2022-12-21,1,267.15,1,0
2022-12-22,1,231.3,0,0
2022-12-23,1,212.65,0,0
2022-12-24,1,244.93,0,1
2022-12-25,1,203.09,0,0
2022-12-26,1,225.51,0,0
2022-12-27,1,246.27,0,0
2022-12-28,1,271.97,1,0
2022-12-29,1,233.75,0,0
2022-12-30,1,257.89,0,1
2022-12-31,1,201.66,0,0
2023-01-01,1,238.7,1,0
2023-01-02,1,223.33,0,0
2023-01-03,1,269.44,1,0
2023-01-04,1,239.0,0,0
2023-01-05,1,262.22,1,0
2023-01-06,1,217.28,0,0
2023-01-07,1,241.27,1,0
2023-01-08,1,212.73,0,0
2023-01-09,1,264.38,1,0
2023-01-10,1,235.47,0,0
2023-01-11,1,247.58,0,0
2023-01-12,1,233.36,0,0
2023-01-13,1,226.09,0,0
2023-01-14,1,200.33,0,0
2023-01-15,1,204.08,0,0
2023-01-16,1,220.97,0,0
2023-01-17,1,229.03,0,0
2023-01-18,1,270.94,1,0
2023-01-19,1,269.0,0,1
2023-01-20,1,246.24,1,0
2023-01-21,1,206.43,0,0
2023-01-22,1,218.01,0,0
2023-01-23,1,229.07,0,0
2023-01-24,1,237.12,0,0
2023-01-25,1,239.42,0,0
2023-01-26,1,235.6,0,0
2023-01-27,1,209.24,0,0
2023-01-28,1,214.23,0,0
2023-01-29,1,244.88,1,0
2023-01-30,1,252.32,1,0
2023-01-31,1,231.79,0,0
2023-02-01,1,251.04,0,0
2023-02-02,1,232.92,0,0
2023-02-03,1,222.38,0,0
2023-02-04,1,197.45,0,0
2023-02-05,1,206.33,0,0
2023-02-06,1,225.04,0,0
2023-02-07,1,270.94,1,0
2023-02-08,1,242.37,0,0
2023-02-09,1,236.96,0,0
2023-02-10,1,211.2,0,0
2023-02-11,1,205.06,0,0
2023-02-12,1,210.28,0,0
2023-02-13,1,297.94,1,1
2023-02-14,1,244.61,0,0
2023-02-15,1,269.34,1,0
2023-02-16,1,226.52,0,0
2023-02-17,1,223.28,0,0
2023-02-18,1,247.78,0,1
2023-02-19,1,206.29,0,0
2023-02-20,1,263.47,1,0
2023-02-21,1,271.98,1,0
2023-02-22,1,251.21,0,0
2023-02-23,1,234.88,0,0
2023-02-24,1,227.54,0,0
2023-02-25,1,245.25,1,0
2023-02-26,1,249.14,0,1
2023-02-27,1,230.92,0,0
2023-02-28,1,244.98,0,0
2023-03-01,1,252.51,0,0
2023-03-02,1,230.07,0,0
2023-03-03,1,221.02,0,0
2023-03-04,1,242.11,1,0
2023-03-05,1,201.94,0,0
2023-03-06,1,220.5,0,0
2023-03-07,1,301.91,1,1
2023-03-08,1,244.67,0,0
2023-03-09,1,268.83,1,0
2023-03-10,1,225.45,0,0
2023-03-11,1,207.54,0,0
2023-03-12,1,249.22,1,0
2023-03-13,1,219.87,0,0
2023-03-14,1,273.94,0,1
2023-03-15,1,246.09,0,0
2023-03-16,1,277.52,0,1
2023-03-17,1,218.13,0,0
2023-03-18,1,197.18,0,0
2023-03-19,1,240.98,1,0
2023-03-20,1,220.59,0,0
2023-03-21,1,246.15,0,0
2023-03-22,1,248.55,0,0
2023-03-23,1,231.25,0,0
2023-03-24,1,216.07,0,0
2023-03-25,1,232.57,1,0
2023-03-26,1,211.47,0,0
2023-03-27,1,232.24,0,0
2023-03-28,1,238.23,0,0
2023-03-29,1,289.59,0,1
2023-03-30,1,233.64,0,0
2023-03-31,1,255.03,0,1
2023-04-01,1,237.68,1,0
2023-04-02,1,206.95,0,0
2023-04-03,1,225.05,0,0
2023-04-04,1,237.51,0,0
2023-04-05,1,257.24,0,0
2023-04-06,1,236.82,0,0
2023-04-07,1,215.84,0,0
2023-04-08,1,209.64,0,0
2023-04-09,1,211.92,0,0
2023-04-10,1,227.06,0,0
2023-04-11,1,246.92,0,0
2023-04-12,1,281.55,1,0
2023-04-13,1,264.34,1,0
2023-04-14,1,216.81,0,0
2023-04-15,1,237.54,1,0
2023-04-16,1,201.32,0,0
2023-04-17,1,220.94,0,0
2023-04-18,1,251.04,0,0
2023-04-19,1,256.34,0,0
2023-04-20,1,236.1,0,0
2023-04-21,1,252.92,1,0
2023-04-22,1,210.82,0,0
2023-04-23,1,228.57,0,0
2023-04-24,1,234.47,0,0
2023-04-25,1,273.91,1,0
2023-04-26,1,243.69,0,0
2023-04-27,1,229.66,0,0
2023-04-28,1,221.41,0,0
2023-04-29,1,205.84,0,0
2023-04-30,1,236.42,1,0
2023-05-01,1,255.98,1,0
2023-05-02,1,239.5,0,0
2023-05-03,1,287.25,1,0
2023-05-04,1,242.45,0,0
2023-05-05,1,250.7,1,0
2023-05-06,1,217.37,0,0
2023-05-07,1,214.27,0,0
2023-05-08,1,225.26,0,0
2023-05-09,1,252.87,0,0
2023-05-10,1,251.86,0,0
2023-05-11,1,273.21,0,1
2023-05-12,1,220.14,0,0
2023-05-13,1,205.94,0,0
2023-05-14,1,207.32,0,0
2023-05-15,1,234.55,0,0
2023-05-16,1,285.15,1,0
2023-05-17,1,242.52,0,0
2023-05-18,1,241.56,0,0
2023-05-19,1,218.19,0,0
2023-05-20,1,238.23,1,0
2023-05-21,1,211.62,0,0
2023-05-22,1,225.95,0,0
2023-05-23,1,276.2,1,0
2023-05-24,1,275.71,1,0
2023-05-25,1,240.45,0,0
2023-05-26,1,221.54,0,0
2023-05-27,1,209.82,0,0
2023-05-28,1,240.39,1,0
2023-05-29,1,227.73,0,0
2023-05-30,1,250.08,0,0
2023-05-31,1,322.72,1,1
2023-06-01,1,234.56,0,0
2023-06-02,1,222.64,0,0
2023-06-03,1,215.13,0,0
2023-06-04,1,206.93,0,0
2023-06-05,1,233.68,0,0
2023-06-06,1,283.34,0,1
2023-06-07,1,253.42,0,0
2023-06-08,1,235.98,0,0
2023-06-09,1,243.47,1,0
2023-06-10,1,203.58,0,0
2023-06-11,1,245.87,1,0
2023-06-12,1,232.62,0,0
2023-06-13,1,272.48,1,0
2023-06-14,1,254.11,0,0
2023-06-15,1,271.84,0,1
2023-06-16,1,222.51,0,0
2023-06-17,1,236.01,1,0
2023-06-18,1,212.72,0,0
2023-06-19,1,231.9,0,0
2023-06-20,1,283.05,0,1
2023-06-21,1,279.34,1,0
2023-06-22,1,245.53,0,0
2023-06-23,1,220.31,0,0
2023-06-24,1,256.6,0,1
2023-06-25,1,240.68,1,0
2023-06-26,1,234.67,0,0
2023-06-27,1,254.91,0,0
2023-06-28,1,279.26,0,1
2023-06-29,1,236.86,0,0
2023-06-30,1,226.42,0,0
2023-07-01,1,211.75,0,0
2023-07-02,1,218.54,0,0
2023-07-03,1,229.35,0,0
2023-07-04,1,248.49,0,0
2023-07-05,1,251.19,0,0
2023-07-06,1,247.03,0,0
2023-07-07,1,225.16,0,0
2023-07-08,1,214.81,0,0
2023-07-09,1,214.97,0,0
2023-07-10,1,230.28,0,0
2023-07-11,1,246.24,0,0
2023-07-12,1,254.29,0,0
2023-07-13,1,239.44,0,0
2023-07-14,1,255.69,1,0
2023-07-15,1,223.85,0,0
2023-07-16,1,221.74,0,0
2023-07-17,1,271.44,0,1
2023-07-18,1,254.76,0,0
2023-07-19,1,250.63,0,0
2023-07-20,1,231.7,0,0
2023-07-21,1,219.55,0,0
2023-07-22,1,204.46,0,0
2023-07-23,1,215.97,0,0
2023-07-24,1,233.51,0,0
2023-07-25,1,287.49,1,0
2023-07-26,1,254.65,0,0
2023-07-27,1,271.15,1,0
2023-07-28,1,269.09,0,1
2023-07-29,1,203.11,0,0
2023-07-30,1,219.26,0,0
2023-07-31,1,237.62,0,0
2023-08-01,1,272.06,1,0
2023-08-02,1,259.08,0,0
2023-08-03,1,274.29,1,0
2023-08-04,1,223.21,0,0
2023-08-05,1,287.68,1,1
2023-08-06,1,229.78,0,0
2023-08-07,1,235.03,0,0
2023-08-08,1,251.04,0,0
2023-08-09,1,251.42,0,0
2023-08-10,1,238.7,0,0
2023-08-11,1,229.79,0,0
2023-08-12,1,240.59,1,0
2023-08-13,1,219.14,0,0
2023-08-14,1,232.08,0,0
2023-08-15,1,252.55,0,0
2023-08-16,1,255.73,0,0
2023-08-17,1,248.48,0,0
2023-08-18,1,223.44,0,0
2023-08-19,1,213.87,0,0
2023-08-20,1,214.24,0,0
2023-08-21,1,232.6,0,0
2023-08-22,1,252.39,0,0
2023-08-23,1,258.2,0,0
2023-08-24,1,239.03,0,0
2023-08-25,1,230.69,0,0
2023-08-26,1,222.35,0,0
2023-08-27,1,221.55,0,0
2023-08-28,1,314.55,1,1
2023-08-29,1,246.98,0,0
2023-08-30,1,278.54,1,0
2023-08-31,1,235.1,0,0
2023-09-01,1,234.17,0,0
2023-09-02,1,219.19,0,0
2023-09-03,1,249.55,1,0
2023-09-04,1,236.92,0,0
2023-09-05,1,275.58,1,0
2023-09-06,1,297.34,1,0
2023-09-07,1,244.99,0,0
2023-09-08,1,227.59,0,0
2023-09-09,1,259.9,0,1
2023-09-10,1,222.59,0,0
2023-09-11,1,266.99,1,0
2023-09-12,1,277.6,1,0
2023-09-13,1,257.82,0,0
2023-09-14,1,254.1,0,0
2023-09-15,1,234.12,0,0
2023-09-16,1,224.58,0,0
2023-09-17,1,247.97,1,0
2023-09-18,1,231.27,0,0
2023-09-19,1,251.27,0,0
2023-09-20,1,256.09,0,0
2023-09-21,1,250.52,0,0
2023-09-22,1,219.28,0,0
2023-09-23,1,224.62,0,0
2023-09-24,1,220.09,0,0
2023-09-25,1,234.43,0,0
2023-09-26,1,277.19,1,0
2023-09-27,1,287.89,0,1
2023-09-28,1,249.51,0,0
2023-09-29,1,228.46,0,0
2023-09-30,1,210.87,0,0
2023-10-01,1,214.76,0,0
2023-10-02,1,235.24,0,0
2023-10-03,1,260.95,0,0
2023-10-04,1,255.22,0,0
2023-10-05,1,238.23,0,0
2023-10-06,1,227.21,0,0
2023-10-07,1,286.3,1,1
2023-10-08,1,208.1,0,0
2023-10-09,1,237.0,0,0
2023-10-10,1,251.8,0,0
2023-10-11,1,260.35,0,0
2023-10-12,1,255.34,0,0
2023-10-13,1,274.42,0,1
2023-10-14,1,246.67,1,0
2023-10-15,1,216.4,0,0
2023-10-16,1,250.48,0,0
2023-10-17,1,253.6,0,0
2023-10-18,1,297.29,0,1
2023-10-19,1,246.32,0,0
2023-10-20,1,230.13,0,0
2023-10-21,1,217.65,0,0
2023-10-22,1,249.41,1,0
2023-10-23,1,235.23,0,0
2023-10-24,1,253.49,0,0
2023-10-25,1,254.85,0,0
2023-10-26,1,243.23,0,0
2023-10-27,1,230.02,0,0
2023-10-28,1,217.44,0,0
2023-10-29,1,230.15,0,0
2023-10-30,1,255.06,1,0
2023-10-31,1,259.46,0,0
2023-11-01,1,264.15,0,0
2023-11-02,1,266.78,1,0
2023-11-03,1,228.13,0,0
2023-11-04,1,217.21,0,0
2023-11-05,1,215.94,0,0
2023-11-06,1,274.78,0,1
2023-11-07,1,248.8,0,0
2023-11-08,1,297.03,1,0
2023-11-09,1,252.17,0,0
2023-11-10,1,236.55,0,0
2023-11-11,1,223.03,0,0
2023-11-12,1,217.69,0,0
2023-11-13,1,276.39,0,1
2023-11-14,1,257.15,0,0
2023-11-15,1,282.51,1,0
2023-11-16,1,251.41,0,0
2023-11-17,1,229.34,0,0
2023-11-18,1,257.89,0,1
2023-11-19,1,227.24,0,0
2023-11-20,1,241.59,0,0
2023-11-21,1,253.25,0,0
2023-11-22,1,264.76,0,0
2023-11-23,1,242.79,0,0
2023-11-24,1,233.97,0,0
2023-11-25,1,223.08,0,0
2023-11-26,1,252.48,1,0
2023-11-27,1,241.35,0,0
2023-11-28,1,249.15,0,0
2023-11-29,1,263.94,0,0
2023-11-30,1,277.62,1,0
2023-12-01,1,258.63,1,0
2023-12-02,1,225.71,0,0
2023-12-03,1,250.86,1,0
2023-12-04,1,233.02,0,0
2023-12-05,1,247.97,0,0
2023-12-06,1,262.7,0,0
2023-12-07,1,242.49,0,0
2023-12-08,1,240.36,0,0
2023-12-09,1,240.41,1,0
2023-12-10,1,233.21,0,0
2023-12-11,1,241.47,0,0
2023-12-12,1,255.62,0,0
2023-12-13,1,257.29,0,0
2023-12-14,1,291.24,0,1
2023-12-15,1,231.75,0,0
2023-12-16,1,226.69,0,0
2023-12-17,1,255.65,1,0
2023-12-18,1,241.52,0,0
2023-12-19,1,254.64,0,0
2023-12-20,1,260.08,0,0
2023-12-21,1,251.13,0,0
2023-12-22,1,223.74,0,0
2023-12-23,1,214.78,0,0
2023-12-24,1,259.15,1,0
2023-12-25,1,241.97,0,0
2023-12-26,1,285.88,1,0
2023-12-27,1,290.81,1,0
2023-12-28,1,251.68,0,0
2023-12-29,1,259.94,1,0
2023-12-30,1,217.98,0,0
2023-12-31,1,256.76,1,0
2022-01-01,2,167.91,0,0
2022-01-02,2,173.58,0,0
2022-01-03,2,181.9,0,0
2022-01-04,2,201.97,0,0
2022-01-05,2,214.74,0,0
2022-01-06,2,207.22,0,0
2022-01-07,2,175.67,0,0
2022-01-08,2,168.11,0,0
2022-01-09,2,174.85,0,0
2022-01-10,2,192.07,0,0
2022-01-11,2,232.3,1,0
2022-01-12,2,212.39,0,0
2022-01-13,2,237.12,0,1
2022-01-14,2,182.12,0,0
2022-01-15,2,174.15,0,0
2022-01-16,2,175.36,0,0
2022-01-17,2,188.83,0,0
2022-01-18,2,206.15,0,0
2022-01-19,2,240.17,1,0
2022-01-20,2,197.99,0,0
2022-01-21,2,181.24,0,0
2022-01-22,2,219.76,0,1
2022-01-23,2,178.48,0,0
2022-01-24,2,189.89,0,0
2022-01-25,2,210.54,0,0
2022-01-26,2,209.3,0,0
2022-01-27,2,236.06,1,0
2022-01-28,2,184.74,0,0
2022-01-29,2,201.58,1,0
2022-01-30,2,218.27,0,1
2022-01-31,2,183.86,0,0
2022-02-01,2,201.77,0,0
2022-02-02,2,235.35,1,0
2022-02-03,2,201.26,0,0
2022-02-04,2,191.9,0,0
2022-02-05,2,183.62,0,0
2022-02-06,2,179.57,0,0
2022-02-07,2,194.57,0,0
2022-02-08,2,198.75,0,0
2022-02-09,2,208.95,0,0
2022-02-10,2,196.96,0,0
2022-02-11,2,180.48,0,0
2022-02-12,2,171.98,0,0
2022-02-13,2,174.37,0,0
2022-02-14,2,212.52,1,0
2022-02-15,2,211.84,0,0
2022-02-16,2,206.65,0,0
2022-02-17,2,202.44,0,0
2022-02-18,2,194.31,0,0
2022-02-19,2,168.57,0,0
2022-02-20,2,194.43,1,0
2022-02-21,2,191.34,0,0
2022-02-22,2,213.96,0,0
2022-02-23,2,222.16,0,0
2022-02-24,2,195.45,0,0
2022-02-25,2,226.77,0,1
2022-02-26,2,201.19,1,0
2022-02-27,2,176.9,0,0
2022-02-28,2,206.34,0,0
2022-03-01,2,201.29,0,0
2022-03-02,2,213.98,0,0
2022-03-03,2,204.28,0,0
2022-03-04,2,190.07,0,0
2022-03-05,2,174.36,0,0
2022-03-06,2,179.32,0,0
2022-03-07,2,191.51,0,0
2022-03-08,2,240.5,1,0
2022-03-09,2,211.35,0,0
2022-03-10,2,245.4,0,1
2022-03-11,2,183.14,0,0
2022-03-12,2,176.1,0,0
2022-03-13,2,177.98,0,0
2022-03-14,2,199.45,0,0
2022-03-15,2,209.25,0,0
2022-03-16,2,204.55,0,0
2022-03-17,2,208.95,0,0
2022-03-18,2,180.81,0,0
2022-03-19,2,201.3,1,0
2022-03-20,2,215.5,0,1
2022-03-21,2,201.04,0,0
2022-03-22,2,199.17,0,0
2022-03-23,2,229.45,0,0
2022-03-24,2,208.27,0,0
2022-03-25,2,216.8,1,0
2022-03-26,2,204.64,1,0
2022-03-27,2,220.26,0,1
2022-03-28,2,227.12,1,0
2022-03-29,2,243.43,1,0
2022-03-30,2,246.89,1,0
2022-03-31,2,273.79,1,1
2022-04-01,2,185.05,0,0
